size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
2942.3540518506443,11598.354379573979,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2901.14730579044,11406.678474784814,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2932.636282597646,11519.517351531955,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2904.6239801556826,11402.495342224349,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2933.6080270135403,11532.958276562222,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2944.410781310444,11555.5614971656,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2926.9417424869766,11507.542630453296,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2937.34837853564,11585.151800630696,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
2949.01790631474,11616.930767410508,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user13,,,,,,,
5021.99675457864,15490.213913260548,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5061.260612125761,15579.171472340224,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5023.420665748713,15429.51605168365,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5021.052462521101,15429.376049985047,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
5036.837610370889,15471.543010003712,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
4984.611633503359,15390.7502343188,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user14,,,,,,,
